last_name, first_name,player_id,year,xba,out_zone_swing,in_zone_swing,
Hosmer, Eric,543333,2016,.257,443,802,
Joseph, Caleb,543376,2016,.212,101,184,
Kipnis, Jason,543401,2016,.265,353,840,
Koehler, Tom,543408,2016,.110,35,71,
Lamb, John,543424,2016,.031,15,33,
Lawrie, Brett,543434,2016,.231,205,485,
Mahtook, Mikie,543484,2016,.192,120,247,
McCann, James,543510,2016,.222,216,461,
Miller, Brad,543543,2016,.239,350,791,
Montgomery, Mike,543557,2016,.108,5,19,
Nieuwenhuis, Kirk,543590,2016,.196,190,491,
Rendon, Anthony,543685,2016,.260,262,850,
Roark, Tanner,543699,2016,.112,42,82,
Robertson, Daniel,543706,2016,.269,4,19,
Rusin, Chris,543734,2016,.170,20,33,
Sands, Jerry,543742,2016,.200,36,79,
Semien, Marcus,543760,2016,.218,326,857,
Shaw, Travis,543768,2016,.230,368,653,
Shuck, JB,543776,2016,.227,114,270,
Springer III, George,543807,2016,.256,391,997,
Strange-Gordon, Dee,543829,2016,.201,217,419,
Vazquez, Christian,543877,2016,.220,116,236,
Wong, Kolten,543939,2016,.240,221,421,
Suarez, Albert,544150,2016,.118,15,28,
Gregorius, Didi,544369,2016,.247,430,715,
Garcia, Leury,544725,2016,.196,29,72,
den Dekker, Matthew,544925,2016,.224,20,49,
Strasburg, Stephen,544931,2016,.175,17,77,
Franklin, Nick,545338,2016,.221,89,260,
Grichuk, Randal,545341,2016,.233,337,655,
Marisnick, Jake,545350,2016,.214,175,428,
Stassi, Max,545358,2016,.194,8,17,
Trout, Mike,545361,2016,.294,351,794,
Herrera, Odubel,546318,2016,.231,518,770,
Almora Jr., Albert,546991,2016,.252,82,122,
Whalen, Rob,547007,2016,.209,3,15,
Wolters, Tony,547172,2016,.207,120,286,
Harper, Bryce,547180,2016,.240,368,695,
Perez, Roberto,547379,2016,.199,85,221,
Kim, Hyun Soo,547957,2016,.269,146,406,
Martin, Leonys,547982,2016,.212,371,773,
Abreu, Jose,547989,2016,.276,568,809,
Verrett, Logan,548337,2016,.093,9,34,
Stripling, Ross,548389,2016,.083,14,33,
Romero, Stefen,552662,2016,.288,11,26,
Narvaez, Omar,553882,2016,.249,41,177,
Machado, Dixon,553988,2016,.219,11,20,
Suarez, Eugenio,553993,2016,.233,341,787,
Perez, Williams,554234,2016,.058,9,25,
Ackley, Dustin,554429,2016,.218,31,71,
Polanco, Gregory,570256,2016,.269,420,687,
Santana, Domingo,570267,2016,.260,144,333,
Gonzalez, Erik,570481,2016,.140,14,24,
Alcantara, Arismendy,570489,2016,.136,17,29,
Sanchez, Yolmer,570560,2016,.224,120,185,
Moya, Steven,570615,2016,.231,109,140,
Urena, Jose,570632,2016,.061,15,20,
Flores, Ramon,570717,2016,.217,147,367,
Schoop, Jonathan,570731,2016,.248,478,865,
Adams, Matt,571431,2016,.231,300,381,
Altherr, Aaron,571437,2016,.213,134,268,
Arenado, Nolan,571448,2016,.257,471,848,
Barnhart, Tucker,571466,2016,.254,202,506,
Bour, Justin,571506,2016,.273,213,336,
Ceciliani, Darrell,571553,2016,.128,17,39,
Corbin, Patrick,571578,2016,.179,31,62,
Fuentes, Rey,571681,2016,.229,23,55,
Gennett, Scooter,571697,2016,.223,367,675,
Goodwin, Brian,571718,2016,.214,27,60,
Hamilton, Billy,571740,2016,.221,209,596,
Haniger, Mitch,571745,2016,.229,54,160,
Hazelbaker, Jeremy,571757,2016,.213,132,289,
Hernandez, Enrique,571771,2016,.205,135,288,
Holt, Brock,571788,2016,.259,168,372,
Jensen, Kyle,571812,2016,.221,23,38,
Joseph, Tommy,571830,2016,.256,242,428,
Kelly, Ty,571841,2016,.217,41,79,
Lamb, Jake,571875,2016,.243,322,730,
Maile, Luke,571912,2016,.208,67,167,
Marrero, Deven,571918,2016,.152,9,13,
Matz, Steven,571927,2016,.217,29,44,
Miller, Shelby,571946,2016,.070,15,38,
Muncy, Max,571970,2016,.222,49,149,
Murphy, John Ryan,571974,2016,.194,38,130,
Myers, Wil,571976,2016,.251,373,800,
Naquin, Tyler,571980,2016,.252,281,489,
Owings, Chris,572008,2016,.259,275,567,
Paulsen, Ben,572019,2016,.206,72,135,
Phegley, Josh,572033,2016,.248,63,97,
Piscotty, Stephen,572039,2016,.260,419,881,
Pollock, AJ,572041,2016,.206,16,41,
Rickard, Joey,572073,2016,.223,154,351,
Schimpf, Ryan,572114,2016,.194,180,445,
Seager, Kyle,572122,2016,.284,324,755,
Shaffer, Richie,572128,2016,.169,25,75,
Susac, Andrew,572180,2016,.264,5,31,
Taylor, Michael A.,572191,2016,.230,121,317,
Thompson, Trayce,572204,2016,.232,127,340,
Zunino, Mike,572287,2016,.187,119,252,
Goins, Ryan,572365,2016,.202,110,218,
Butler, Eddie,572750,2016,.075,10,28,
Carpenter, Matt,572761,2016,.283,289,632,
Dickerson, Corey,572816,2016,.232,483,698,
Dozier, Brian,572821,2016,.231,418,800,
Garneau, Dustin,572863,2016,.208,39,101,
Renda, Tony,573113,2016,.243,26,85,
Ruf, Darin,573131,2016,.227,55,109,
Saladino, Tyler,573135,2016,.245,166,434,
Straily, Dan,573185,2016,.021,31,75,
Vargas, Kennys,573627,2016,.211,94,214,
Segedin, Rob,574847,2016,.220,51,120,
Contreras, Willson,575929,2016,.255,199,339,
Gyorko, Jedd,576397,2016,.236,237,590,
Iglesias, Jose,578428,2016,.245,353,537,
Querecuto, Juniel,578570,2016,.115,11,12,
Travis, Devon,581527,2016,.255,306,549,
Hechavarria, Adeiny,588751,2016,.262,329,665,
Hernandez, Oscar,591712,2016,.315,11,15,
Torreyes, Ronald,591720,2016,.250,88,203,
Austin, Tyler,592122,2016,.196,52,133,
Bryant, Kris,592178,2016,.264,420,889,
Canha, Mark,592192,2016,.181,36,52,
Casali, Curt,592200,2016,.197,125,348,
Castellanos, Nick,592206,2016,.286,316,616,
Cowart, Kaleb,592230,2016,.208,53,118,
Cunningham, Todd,592239,2016,.196,13,39,
DeShields, Delino,592261,2016,.199,107,251,
Drury, Brandon,592273,2016,.255,309,562,
Foltynewicz, Mike,592314,2016,.132,34,46,
Gamel, Ben,592325,2016,.189,27,70,
Gray, Jon,592351,2016,.127,29,64,
Healy, Ryon,592387,2016,.289,182,296,
Holaday, Bryan,592407,2016,.208,71,191,
Hoying, Jared,592419,2016,.211,33,69,
Jenkins, Tyrell,592433,2016,.073,8,17,
Jones, JaCoby,592444,2016,.252,23,37,
Judge, Aaron,592450,2016,.184,67,119,
Machado, Manny,592518,2016,.289,413,852,
Moran, Colin,592567,2016,.212,14,39,
Nicholas, Brett,592592,2016,.200,30,51,
Nicolino, Justin,592593,2016,.115,19,31,
Parker, Jarrett,592620,2016,.234,74,203,
Pederson, Joc,592626,2016,.232,281,536,
Ray, Robbie,592662,2016,.138,46,75,
Realmuto, J.T.,592663,2016,.264,327,704,
Renfroe, Hunter,592669,2016,.295,23,48,
Rivera, Yadiel,592680,2016,.207,32,98,
Rosario, Eddie,592696,2016,.224,282,473,
Rutledge, Josh,592710,2016,.192,36,66,
Sanchez, Aaron,592717,2016,.068,5,7,
Selsky, Steve,592731,2016,.253,37,53,
Simmons, Andrelton,592743,2016,.268,207,551,
Stewart, Brock,592779,2016,.127,9,13,
Syndergaard, Noah,592789,2016,.178,43,85,
Taillon, Jameson,592791,2016,.140,18,44,
Toles, Andrew,592808,2016,.267,78,137,
Velasquez, Vince,592826,2016,.137,18,69,
Waldrop, Kyle,592835,2016,.140,21,36,
Williams, Mason,592863,2016,.254,18,33,
Yelich, Christian,592885,2016,.298,313,782,
Merrifield, Whit,593160,2016,.248,210,399,
Martinez, Carlos,593372,2016,.172,51,62,
Bogaerts, Xander,593428,2016,.254,466,827,
Castro, Daniel,593495,2016,.227,104,162,
Hernandez, Marco,593523,2016,.236,31,74,
Alberto, Hanser,593643,2016,.148,59,58,
Brito, Socrates,593647,2016,.253,69,136,
Hanson, Alen,593700,2016,.165,13,44,
Polanco, Jorge,593871,2016,.268,175,278,
Sano, Miguel,593934,2016,.211,248,612,
Difo, Wilmer,594694,2016,.209,34,84,
Asher, Alec,594742,2016,.113,5,12,
Blair, Aaron,594760,2016,.107,10,21,
